Name,Date,Time,ScanType,OpMode,DualCount,Averages,IntegrationMode,SilInteg,SW1Integ,SW2Integ,Voltage,SysTemp,SW1Temp,SW2Temp,Latitude,Longitude,Altitude,GPSTime,Range,XTilt,YTilt
NaturaSpecPlus_SN25494G1_00000,8/16/2026,1:24:19 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,60,100,30,15.739504,33.54736328125,20.2336,-15.6697,66.8971767222222,-162.602874152778,1.9,20:24:22,0.984,-1.144,44.290
NaturaSpecPlus_SN25494G1_00001,8/16/2026,1:25:09 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.739504,33.466796875,20.2336,-15.6697,66.8971772333333,-162.602884291667,1.75,20:25:12,0.984,2.469,43.180
NaturaSpecPlus_SN25494G1_00002,8/16/2026,1:26:29 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,60,100,30,15.700832,33.86962890625,20.3008,-15.6697,66.8971769166667,-162.602891097222,1.75,20:26:32,0.984,-0.641,45.546
NaturaSpecPlus_SN25494G1_00003,8/16/2026,1:26:49 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,56,100,30,15.700832,33.9501953125,20.3008,-15.6697,66.8971765151515,-162.602888636364,1.8,20:26:51,0.984,-0.043,49.556
NaturaSpecPlus_SN25494G1_00004,8/16/2026,1:27:06 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,52,100,30,15.700832,34.19189453125,20.2336,-15.6697,66.8971763484849,-162.602884621212,1.86363636363636,20:27:09,0.984,0.115,49.563
NaturaSpecPlus_SN25494G1_00005,8/16/2026,1:31:50 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.584816,35.15869140625,20.3008,-15.6697,66.8971794083333,-162.602893233333,-0.025,20:31:53,1.167,-0.377,41.616
NaturaSpecPlus_SN25494G1_00006,8/16/2026,1:32:14 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.584816,35.400390625,20.2336,-15.6697,66.8971783416667,-162.602898341667,0.305,20:32:17,1.167,-1.803,47.313
NaturaSpecPlus_SN25494G1_00007,8/16/2026,1:32:40 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.56548,35.48095703125,20.3008,-15.6697,66.897177,-162.602902233333,0.44,20:32:43,1.167,-5.943,46.084
NaturaSpecPlus_SN25494G1_00008,8/16/2026,1:33:12 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.546144,35.48095703125,20.3008,-15.6697,66.8971781416667,-162.602902875,0.665,20:33:15,1.167,-1.732,42.888
NaturaSpecPlus_SN25494G1_00009,8/16/2026,1:33:41 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,56,100,30,15.546144,35.72265625,20.2336,-15.6697,66.8971764242424,-162.602903969697,0.7,20:33:44,1.167,-1.006,46.454
NaturaSpecPlus_SN25494G1_00010,8/16/2026,1:33:57 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,56,100,30,15.546144,35.80322265625,20.3008,-15.58654,66.8971770416667,-162.602902375,0.6,20:34:00,1.167,-2.625,47.555
NaturaSpecPlus_SN25494G1_00011,8/16/2026,1:34:32 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.526808,35.80322265625,20.368,-15.6697,66.89717755,-162.602898791667,0.54,20:34:35,1.167,-2.094,44.885
NaturaSpecPlus_SN25494G1_00012,8/16/2026,1:35:22 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.507472,36.12548828125,20.3008,-15.6697,66.8971778,-162.602898533333,0.51,20:35:25,1.167,-1.141,42.012
NaturaSpecPlus_SN25494G1_00013,8/16/2026,1:35:54 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.526808,36.3671875,20.2336,-15.58654,66.8971777543859,-162.602900219298,0.5,20:35:56,1.167,-2.572,47.512
NaturaSpecPlus_SN25494G1_00014,8/16/2026,1:36:43 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.488136,36.44775390625,20.368,-15.58654,66.8971766491228,-162.602896254386,0.6,20:36:46,1.492,-4.201,40.393
NaturaSpecPlus_SN25494G1_00015,8/16/2026,1:37:12 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.488136,36.44775390625,20.3008,-15.58654,66.8971764912281,-162.602897561404,0.705263157894737,20:37:15,1.298,-1.776,36.329
NaturaSpecPlus_SN25494G1_00016,8/16/2026,1:37:51 PM,TARGET, ALLOW_SWIR2_UPDATE,INDEPENDENT,0,40,AUTOMATIC,100,100,30,15.4688,36.8505859375,20.368,-15.58654,66.897176925,-162.602903083333,0.8,20:37:55,1.229,-0.996,46.310
