wavelength,Rrs_ref0.3067,Rrs_ref0.2788,Rrs_ref0.2383,Rrs_ref0.2318,Rrs_ref0.2291
350.0,2.21694101e-03,2.14416439e-03,2.78475322e-03,5.64762372e-04,5.56205260e-04
351.0,2.21300462e-03,2.14085640e-03,2.78886571e-03,5.74824802e-04,5.60832037e-04
352.0,2.21366527e-03,2.14185751e-03,2.79630929e-03,5.88890978e-04,5.73278220e-04
353.0,2.21348978e-03,2.14732437e-03,2.80749504e-03,6.08927732e-04,5.88110887e-04
354.0,2.21291479e-03,2.15129945e-03,2.82071110e-03,6.30924073e-04,6.03802272e-04
355.0,2.21349966e-03,2.15449330e-03,2.83342935e-03,6.46373729e-04,6.22182200e-04
356.0,2.21563697e-03,2.16056382e-03,2.84150692e-03,6.59219253e-04,6.42884417e-04
357.0,2.21626696e-03,2.16579305e-03,2.85337991e-03,6.78274386e-04,6.61158461e-04
358.0,2.21262356e-03,2.17012196e-03,2.86320931e-03,6.91803944e-04,6.75422604e-04
359.0,2.20701775e-03,2.16799397e-03,2.86865898e-03,6.98302349e-04,6.87091934e-04
360.0,2.20129633e-03,2.16487690e-03,2.86856403e-03,7.02669280e-04,6.95617129e-04
361.0,2.19942046e-03,2.16390005e-03,2.86501071e-03,7.10182980e-04,7.06264221e-04
362.0,2.19949377e-03,2.16730088e-03,2.86243770e-03,7.22419549e-04,7.22506212e-04
363.0,2.19767973e-03,2.17300593e-03,2.86252527e-03,7.43270971e-04,7.37592252e-04
364.0,2.19674773e-03,2.17625260e-03,2.86150865e-03,7.60245754e-04,7.51300649e-04
365.0,2.19707083e-03,2.18193502e-03,2.86003928e-03,7.72405930e-04,7.65621346e-04
366.0,2.19862435e-03,2.18973309e-03,2.85800950e-03,7.89548851e-04,7.81827366e-04
367.0,2.20252443e-03,2.20101278e-03,2.85776112e-03,8.08130923e-04,7.98940002e-04
368.0,2.20957090e-03,2.21758636e-03,2.85900027e-03,8.29314614e-04,8.20222430e-04
369.0,2.21898371e-03,2.23760678e-03,2.86345434e-03,8.52373744e-04,8.44993191e-04
370.0,2.22781683e-03,2.25682635e-03,2.87084429e-03,8.78773231e-04,8.70860812e-04
371.0,2.23446037e-03,2.27310199e-03,2.88039366e-03,9.07227265e-04,8.93965539e-04
372.0,2.23504758e-03,2.28443936e-03,2.88681455e-03,9.28502597e-04,9.13942966e-04
373.0,2.23403735e-03,2.29289028e-03,2.89040091e-03,9.47567512e-04,9.32017968e-04
374.0,2.23357220e-03,2.30003166e-03,2.89134946e-03,9.56561129e-04,9.46843095e-04
375.0,2.23049218e-03,2.30420151e-03,2.88928281e-03,9.67083838e-04,9.58073069e-04
376.0,2.22796701e-03,2.30493481e-03,2.88401995e-03,9.70854362e-04,9.64025682e-04
377.0,2.23521465e-03,2.31731596e-03,2.87753346e-03,9.82609785e-04,9.79890154e-04
378.0,2.25008582e-03,2.34307393e-03,2.87535020e-03,1.00215850e-03,1.00490377e-03
379.0,2.26964568e-03,2.37579159e-03,2.88370054e-03,1.03349844e-03,1.03615760e-03
380.0,2.28753501e-03,2.40629357e-03,2.90401932e-03,1.07304966e-03,1.07197797e-03
381.0,2.29849506e-03,2.42723051e-03,2.92293906e-03,1.11296704e-03,1.10465569e-03
382.0,2.30785676e-03,2.44312550e-03,2.93769091e-03,1.14462566e-03,1.13362411e-03
383.0,2.31471759e-03,2.45518814e-03,2.95054460e-03,1.16444599e-03,1.15748201e-03
384.0,2.31615435e-03,2.45817909e-03,2.95519192e-03,1.18284012e-03,1.17243001e-03
385.0,2.31719263e-03,2.46066786e-03,2.95851544e-03,1.18935445e-03,1.18261691e-03
386.0,2.32103587e-03,2.46682420e-03,2.96323086e-03,1.20113819e-03,1.19673397e-03
387.0,2.32578517e-03,2.47437272e-03,2.96424560e-03,1.21456176e-03,1.21275935e-03
388.0,2.33608133e-03,2.48929934e-03,2.96269758e-03,1.22710885e-03,1.23049268e-03
389.0,2.35261414e-03,2.51419729e-03,2.96599564e-03,1.24264206e-03,1.25071418e-03
390.0,2.36786409e-03,2.53691031e-03,2.97966139e-03,1.26429096e-03,1.27555212e-03
391.0,2.38646353e-03,2.56240989e-03,2.98826509e-03,1.28897692e-03,1.30384252e-03
392.0,2.41058293e-03,2.59562027e-03,3.00044049e-03,1.31896161e-03,1.33380850e-03
393.0,2.42537869e-03,2.62337374e-03,3.02508835e-03,1.35308980e-03,1.36668514e-03
394.0,2.42363807e-03,2.62283785e-03,3.04619799e-03,1.39347338e-03,1.39492861e-03
395.0,2.41702143e-03,2.61224698e-03,3.04655091e-03,1.41243475e-03,1.40605935e-03
396.0,2.41824861e-03,2.61549082e-03,3.04144016e-03,1.41894814e-03,1.41439028e-03
397.0,2.42256173e-03,2.62403139e-03,3.03899415e-03,1.42845766e-03,1.42788275e-03
398.0,2.42546312e-03,2.62960151e-03,3.03716755e-03,1.43807725e-03,1.44017688e-03
399.0,2.43356906e-03,2.64023385e-03,3.02771255e-03,1.44400148e-03,1.44921123e-03
