# scaled-mean R_rs; shape_cv_pct=7.076 amp_cv_pct=11.43 n=12
wavelength_nm,Rrs_mean,shape_sd,plain_sd
400.0,1.09729330e-03,1.57447306e-04,1.69929441e-04
401.0,1.12342318e-03,1.58442215e-04,1.65230408e-04
402.0,1.15023064e-03,1.58698044e-04,1.62113670e-04
403.0,1.17743051e-03,1.58098178e-04,1.60035149e-04
404.0,1.20517825e-03,1.54929209e-04,1.60297244e-04
405.0,1.23148590e-03,1.50796400e-04,1.63085103e-04
406.0,1.25664105e-03,1.48487835e-04,1.62100108e-04
407.0,1.28008215e-03,1.45923636e-04,1.60357602e-04
408.0,1.30546332e-03,1.43423365e-04,1.59755927e-04
409.0,1.33086116e-03,1.41610554e-04,1.58316540e-04
410.0,1.35705738e-03,1.39872706e-04,1.58920204e-04
411.0,1.38149863e-03,1.39055464e-04,1.59837340e-04
412.0,1.40688394e-03,1.38459215e-04,1.57824787e-04
413.0,1.43451613e-03,1.37806203e-04,1.56487559e-04
414.0,1.46431167e-03,1.37229200e-04,1.57496594e-04
415.0,1.49422023e-03,1.36262177e-04,1.57437096e-04
416.0,1.52377327e-03,1.35797914e-04,1.57435093e-04
417.0,1.55583227e-03,1.34230287e-04,1.59890836e-04
418.0,1.58852338e-03,1.31830842e-04,1.62245657e-04
419.0,1.62081114e-03,1.31916608e-04,1.62480317e-04
420.0,1.65183507e-03,1.32552183e-04,1.62208573e-04
421.0,1.68449919e-03,1.32678762e-04,1.61964490e-04
422.0,1.71895614e-03,1.31883111e-04,1.63538874e-04
423.0,1.75429217e-03,1.30247088e-04,1.66616513e-04
424.0,1.78744432e-03,1.29470921e-04,1.68299673e-04
425.0,1.82187046e-03,1.30357445e-04,1.68625486e-04
426.0,1.85552580e-03,1.32326686e-04,1.67076683e-04
427.0,1.88699771e-03,1.39047020e-04,1.60272847e-04
428.0,1.92429637e-03,1.39674139e-04,1.60436319e-04
429.0,1.97436010e-03,1.26305224e-04,1.81262631e-04
430.0,2.02145085e-03,1.13991827e-04,2.11074100e-04
431.0,2.04005313e-03,1.17187425e-04,2.06389873e-04
432.0,2.05887868e-03,1.22127428e-04,1.95507551e-04
433.0,2.09186523e-03,1.22037729e-04,1.99292974e-04
434.0,2.12868831e-03,1.17800028e-04,2.10754464e-04
435.0,2.15292246e-03,1.21477347e-04,2.03562479e-04
436.0,2.18184373e-03,1.25777858e-04,1.96626288e-04
437.0,2.22456067e-03,1.24240912e-04,2.03162799e-04
438.0,2.27381432e-03,1.18160122e-04,2.19471033e-04
439.0,2.31619866e-03,1.16229592e-04,2.28694083e-04
440.0,2.35607759e-03,1.16430125e-04,2.32801686e-04
441.0,2.39457137e-03,1.17779234e-04,2.33415595e-04
442.0,2.43642101e-03,1.19668651e-04,2.33332901e-04
443.0,2.48027848e-03,1.20817902e-04,2.33662461e-04
444.0,2.53171869e-03,1.20153803e-04,2.39407702e-04
445.0,2.58965632e-03,1.17453897e-04,2.49719023e-04
446.0,2.64495189e-03,1.16539252e-04,2.57891634e-04
447.0,2.69424443e-03,1.16434874e-04,2.62440024e-04
448.0,2.74460666e-03,1.16034926e-04,2.68689754e-04
