"# every arm of the assumption sweep, ranked by chi2. nu=298, sigma = the measured per-band uncertainty in FINAL_Rrs.csv"
"# admissible = chi2_nu <= 2 x best (a STATED cut, not a confidence level -- see LOC1_GIOP_FINDINGS.md 2b/2c)"
arm,family,chi2,chi2_nu,weight_avni,admissible,M_phi,adg443,bbp443,S_dg,eta
shapes FREE (Bricaud),free,4164.8752,13.9761,1,1,2.27834,0.779619,0.0428531,0.011797,-1
shapes FREE (Ciotti sf=0.5),free,5372.6169,18.0289,1.71893e-19,1,7.15538e-15,0.822506,0.0389522,0.0116981,-1
OC4 input 15,chl,14096.1175,47.3024,4.98638e-155,0,10.336,1.30493,0.0837908,0.018,0.167768
OC4 input 20,chl,14116.1242,47.3695,2.43747e-155,0,9.45878,1.33894,0.0835305,0.018,0.167768
OC4 input 30,chl,14255.2572,47.8364,1.67966e-157,0,8.17803,1.38312,0.0825116,0.018,0.167768
OC4 input 9.88,chl,14300.3407,47.9877,3.3478e-158,0,11.3919,1.25711,0.0831708,0.018,0.167768
OC4 input 50,chl,14498.0743,48.6513,2.83506e-161,0,6.66324,1.42829,0.0805985,0.018,0.167768
Ciotti sf=0.0,sf,14527.8983,48.7513,9.75403e-162,0,40.9913,1.13713,0.0750077,0.018,0.167768
OC4 input 8,chl,14566.4036,48.8805,2.45994e-162,0,11.7392,1.23676,0.0822836,0.018,0.167768
OC4 input 5,chl,15726.6691,52.7741,2.31112e-180,0,11.7016,1.21396,0.0785516,0.018,0.167768
OC4 input 3,chl,18041.8538,60.5431,2.4699e-216,0,9.50197,1.2554,0.0710177,0.018,0.167768
OC4 input 2,chl,20357.0891,68.3124,2.63482e-252,0,5.59888,1.35307,0.0624953,0.018,0.167768
Ciotti sf=0.1,sf,21230.5890,71.2436,7.06544e-266,0,14.7374,1.29529,0.0600245,0.018,0.167768
OC4 input 0.5,chl,22648.9614,76.0032,6.48358e-288,0,7.92944e-30,1.48109,0.0524668,0.018,0.167768
Ciotti sf=1.0,sf,22648.9615,76.0032,6.48356e-288,0,1.14654e-31,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.9,sf,22648.9615,76.0032,6.48355e-288,0,5.74933e-31,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.8,sf,22648.9617,76.0032,6.48352e-288,0,1.1463e-30,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.7,sf,22648.9618,76.0032,6.48349e-288,0,1.46449e-33,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.6,sf,22648.9618,76.0032,6.48348e-288,0,6.76302e-30,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.2,sf,22648.9619,76.0032,6.48346e-288,0,8.83332e-27,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.3,sf,22648.9619,76.0032,6.48346e-288,0,1.14628e-28,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.5,sf,22648.9625,76.0032,6.48333e-288,0,3.48394e-29,1.48109,0.0524668,0.018,0.167768
Ciotti sf=0.4,sf,22648.9630,76.0032,6.48321e-288,0,2.89455e-28,1.48109,0.0524668,0.018,0.167768
OC4 input 1,chl,22648.9634,76.0032,6.48313e-288,0,6.48592e-21,1.48109,0.0524668,0.018,0.167768

"# chi2 surface minimum over (S_dg, eta), 34x34 grid"
S_dg_best,0.0113333,eta_best,-1,chi2_nu_best,13.9462
# residual autocorrelation of the GIOP-default fit
lag1_rho,0.996162,n_bands,301,n_eff_AR1,0.5788
