"# per water scan: the angle-matched sky, the spread the sky choice causes, and the difference from averaging all skies"
water,best_sky,dtheta_deg,sd443_pct,sd555_pct,sdband_pct,diff443_pct,diff555_pct,diffband_pct
00001,00000,1.10,2.6869,0.2936,0.9960,3.6256,0.3677,1.2689
00005,00000,2.70,2.8618,0.3559,1.0528,3.8706,0.4472,1.3378
00006,00010,0.30,3.0304,0.3217,1.0622,-2.2986,-0.2415,0.7593
00007,00009,0.40,3.1834,0.3286,1.1213,1.9825,0.2049,0.6190
00008,00000,1.40,3.1649,0.3666,1.1678,4.2806,0.4606,1.4944
00011,00000,0.60,2.5828,0.3100,0.9621,3.4933,0.3894,1.2265
00012,00000,2.30,2.4113,0.3152,0.9010,3.2613,0.3961,1.1425
00013,00010,0.10,2.8196,0.3146,1.0600,-2.1387,-0.2362,0.7562
00016,00009,0.20,2.4886,0.2908,0.9369,1.5498,0.1813,0.5185
00017,00002,0.50,2.3019,0.2721,0.8591,3.5254,0.4246,1.2805
00018,00009,0.10,2.2705,0.2743,0.8484,1.4140,0.1711,0.4714
00019,00000,4.80,2.1502,0.2617,0.7899,2.9082,0.3288,1.0086
