# scaled-mean R_rs; shape_cv_pct=5.998 amp_cv_pct=3.09 n=9
wavelength_nm,Rrs_mean,shape_sd,plain_sd
400.0,2.44364101e-03,1.87183260e-04,2.39694500e-04
401.0,2.45505006e-03,1.83318072e-04,2.35362119e-04
402.0,2.46700209e-03,1.79939111e-04,2.31427800e-04
403.0,2.47978552e-03,1.76302154e-04,2.27674380e-04
404.0,2.49350789e-03,1.72815538e-04,2.24002201e-04
405.0,2.50363773e-03,1.69649522e-04,2.20514782e-04
406.0,2.51224722e-03,1.66660423e-04,2.17479276e-04
407.0,2.52125709e-03,1.63028151e-04,2.13562085e-04
408.0,2.53068616e-03,1.59711313e-04,2.09866301e-04
409.0,2.54100785e-03,1.56549852e-04,2.06610475e-04
410.0,2.55149496e-03,1.53044186e-04,2.03315132e-04
411.0,2.55898075e-03,1.49572430e-04,1.99529669e-04
412.0,2.56934852e-03,1.47045446e-04,1.96848708e-04
413.0,2.58140770e-03,1.44321451e-04,1.93660610e-04
414.0,2.59575648e-03,1.42081974e-04,1.91033208e-04
415.0,2.61129204e-03,1.39398076e-04,1.87861101e-04
416.0,2.62870637e-03,1.36499780e-04,1.84789163e-04
417.0,2.64784663e-03,1.34170185e-04,1.82384218e-04
418.0,2.66654415e-03,1.32994768e-04,1.81272325e-04
419.0,2.68386819e-03,1.31452538e-04,1.79276130e-04
420.0,2.70153662e-03,1.30169591e-04,1.77853651e-04
421.0,2.71987503e-03,1.28144669e-04,1.75459279e-04
422.0,2.74043797e-03,1.26089534e-04,1.72995589e-04
423.0,2.76051289e-03,1.23827402e-04,1.70338528e-04
424.0,2.77932150e-03,1.22492686e-04,1.68757994e-04
425.0,2.79665082e-03,1.20594307e-04,1.66021638e-04
426.0,2.81462144e-03,1.19148223e-04,1.64112508e-04
427.0,2.83127561e-03,1.17301373e-04,1.60713463e-04
428.0,2.86017833e-03,1.14353543e-04,1.57276086e-04
429.0,2.89617786e-03,1.14424381e-04,1.58604307e-04
430.0,2.91038849e-03,1.13728924e-04,1.58251089e-04
431.0,2.91037321e-03,1.12181136e-04,1.55201053e-04
432.0,2.91912068e-03,1.10380214e-04,1.51739443e-04
433.0,2.93867707e-03,1.10039450e-04,1.50969856e-04
434.0,2.95299781e-03,1.08787104e-04,1.49673018e-04
435.0,2.96489961e-03,1.07569387e-04,1.47415858e-04
436.0,2.98668146e-03,1.06803857e-04,1.45967678e-04
437.0,3.01975845e-03,1.06306797e-04,1.45474621e-04
438.0,3.05499310e-03,1.04629549e-04,1.44380648e-04
439.0,3.08472425e-03,1.02633310e-04,1.42704912e-04
440.0,3.11589830e-03,1.01824335e-04,1.42254195e-04
441.0,3.15002406e-03,1.01855910e-04,1.42082611e-04
442.0,3.18936546e-03,1.02421091e-04,1.42395989e-04
443.0,3.23379339e-03,1.01338911e-04,1.41323118e-04
444.0,3.28680467e-03,1.00107862e-04,1.41484062e-04
445.0,3.34335373e-03,9.86042318e-05,1.41554734e-04
446.0,3.39498089e-03,9.72706959e-05,1.42383131e-04
447.0,3.44662702e-03,9.61491416e-05,1.42438147e-04
448.0,3.49826872e-03,9.56925652e-05,1.42754381e-04
