"# every arm of the assumption sweep, ranked by chi2. nu=298, sigma = the measured per-band uncertainty in FINAL_Rrs.csv"
"# admissible = chi2_nu <= 2 x best (a STATED cut, not a confidence level -- see LOC1_GIOP_FINDINGS.md 2b/2c)"
arm,family,chi2,chi2_nu,weight_avni,admissible,M_phi,adg443,bbp443,S_dg,eta
shapes FREE (Ciotti sf=0.5),free,9560.4782,32.0821,1,1,4.29378,0.583643,0.0471804,0.0105792,-0.456231
shapes FREE (Bricaud),free,31071.1090,104.2655,2.54559e-146,0,3.60688,0.490624,0.0410261,0.0124356,-1
OC4 input 5,chl,46659.4928,156.5755,7.87351e-252,0,12.1811,0.61678,0.0744577,0.018,0.175792
OC4 input 3,chl,47661.1031,159.9366,1.30855e-258,0,12.7529,0.572468,0.0716306,0.018,0.175792
Ciotti sf=0.0,sf,54749.8967,183.7245,1.36916e-306,0,36.0664,0.665972,0.0680629,0.018,0.175792
OC4 input 8,chl,54995.2366,184.5478,2.99142e-308,0,10.898,0.685481,0.0753388,0.018,0.175792
Ciotti sf=0.1,sf,58244.1536,195.4502,0,0,31.0314,0.529291,0.0627863,0.018,0.175792
OC4 input 2,chl,61144.2437,205.1820,0,0,12.342,0.572445,0.0681174,0.018,0.175792
OC4 input 14.3,chl,66088.8672,221.7747,0,0,8.74008,0.785826,0.074196,0.018,0.175792
OC4 input 15,chl,66698.1475,223.8193,0,0,8.56632,0.793421,0.0740263,0.018,0.175792
OC4 input 50,chl,67841.4889,227.6560,0,0,4.56964,0.952496,0.067946,0.018,0.175792
OC4 input 20,chl,69484.8430,233.1706,0,0,7.46375,0.840248,0.0727467,0.018,0.175792
OC4 input 30,chl,70327.2808,235.9976,0,0,6.03949,0.89744,0.0706331,0.018,0.175792
Ciotti sf=1.0,sf,80863.2685,271.3532,0,0,4.29879e-23,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.9,sf,80863.2754,271.3533,0,0,8.75031e-26,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.8,sf,80863.2771,271.3533,0,0,6.38176e-26,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.5,sf,80863.2825,271.3533,0,0,7.66964e-28,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.7,sf,80863.2832,271.3533,0,0,3.82214e-28,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.4,sf,80863.2879,271.3533,0,0,8.96174e-24,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.6,sf,80863.2929,271.3533,0,0,3.60713e-24,1.06144,0.0488577,0.018,0.175792
Ciotti sf=0.3,sf,80863.2978,271.3533,0,0,3.06123e-19,1.06144,0.0488577,0.018,0.175792
OC4 input 0.5,chl,102562.9201,344.1709,0,0,2.69353,0.948326,0.0515465,0.018,0.175792
OC4 input 1,chl,103147.3469,346.1320,0,0,8.59975,0.704762,0.0594487,0.018,0.175792
Ciotti sf=0.2,sf,105509.1923,354.0577,0,0,8.85553,0.857529,0.0522034,0.018,0.175792

"# chi2 surface minimum over (S_dg, eta), 34x34 grid"
S_dg_best,0.0133333,eta_best,-0.909091,chi2_nu_best,100.582
# residual autocorrelation of the GIOP-default fit
lag1_rho,0.990883,n_bands,301,n_eff_AR1,1.378
