# scaled-mean R_rs; shape_cv_pct=1.007 amp_cv_pct=0.37 n=3
wavelength_nm,Rrs_mean,shape_sd,plain_sd
400.0,3.41327798e-03,3.55747095e-05,2.45043255e-05
401.0,3.41589206e-03,3.35753598e-05,2.27497740e-05
402.0,3.41953313e-03,3.37564315e-05,2.29030515e-05
403.0,3.42197603e-03,3.02406968e-05,1.92123300e-05
404.0,3.42374230e-03,3.00908623e-05,1.87436918e-05
405.0,3.42437999e-03,3.15496458e-05,2.00028427e-05
406.0,3.42575816e-03,3.10631543e-05,1.91418150e-05
407.0,3.42622553e-03,3.15807033e-05,1.94814423e-05
408.0,3.42752186e-03,3.44731158e-05,2.22964191e-05
409.0,3.42706499e-03,3.48958548e-05,2.25765930e-05
410.0,3.42752386e-03,3.58655790e-05,2.35041920e-05
411.0,3.42814380e-03,3.60590973e-05,2.36337666e-05
412.0,3.43125253e-03,3.44374203e-05,2.19976008e-05
413.0,3.43469337e-03,3.37100834e-05,2.12250378e-05
414.0,3.44168399e-03,3.32564569e-05,2.06998971e-05
415.0,3.44857393e-03,3.44322131e-05,2.18215824e-05
416.0,3.45762028e-03,3.39010081e-05,2.12631891e-05
417.0,3.46897987e-03,3.45748318e-05,2.18890771e-05
418.0,3.47901922e-03,3.40612203e-05,2.13388032e-05
419.0,3.48876691e-03,3.20295090e-05,1.92706257e-05
420.0,3.50081571e-03,3.17145803e-05,1.89279723e-05
421.0,3.51194898e-03,3.25208662e-05,1.97163795e-05
422.0,3.52402964e-03,3.21554682e-05,1.92985930e-05
423.0,3.53617479e-03,3.30747603e-05,2.02237655e-05
424.0,3.54816360e-03,3.32541563e-05,2.04465969e-05
425.0,3.55946652e-03,3.18350586e-05,1.89732086e-05
426.0,3.57278745e-03,3.14276467e-05,1.84760733e-05
427.0,3.58270422e-03,2.86609311e-05,1.56014519e-05
428.0,3.60031113e-03,2.97050453e-05,1.66751108e-05
429.0,3.62230665e-03,3.72649092e-05,2.46356818e-05
430.0,3.62831980e-03,4.01250473e-05,2.76360576e-05
431.0,3.62388888e-03,3.66088882e-05,2.39872055e-05
432.0,3.62822497e-03,3.40056092e-05,2.11750771e-05
433.0,3.63896529e-03,3.58213834e-05,2.29831054e-05
434.0,3.64764856e-03,3.70907973e-05,2.42052620e-05
435.0,3.65507015e-03,3.63158880e-05,2.33446406e-05
436.0,3.67263958e-03,3.48636744e-05,2.18282426e-05
437.0,3.69655109e-03,3.40621853e-05,2.11136013e-05
438.0,3.72352941e-03,3.46119100e-05,2.19066521e-05
439.0,3.74877218e-03,3.58820499e-05,2.31013923e-05
440.0,3.77406631e-03,3.73343496e-05,2.44517803e-05
441.0,3.80198465e-03,3.68030501e-05,2.37034421e-05
442.0,3.83675387e-03,3.52766236e-05,2.21265875e-05
443.0,3.87998398e-03,3.24731568e-05,1.92514965e-05
444.0,3.92775981e-03,3.17519312e-05,1.84323649e-05
445.0,3.97789356e-03,3.25574667e-05,1.89982655e-05
446.0,4.02338983e-03,3.35631537e-05,1.97479452e-05
447.0,4.07008900e-03,3.29730905e-05,1.91379708e-05
448.0,4.11778445e-03,3.15418434e-05,1.75060444e-05
449.0,4.16571647e-03,3.00121389e-05,1.58958582e-05
450.0,4.21095421e-03,2.91283946e-05,1.49228246e-05
451.0,4.26006320e-03,2.99465944e-05,1.56272862e-05
452.0,4.31333849e-03,2.62786881e-05,1.12575035e-05
453.0,4.35606754e-03,3.35651593e-05,1.84294063e-05
454.0,4.39631532e-03,2.93894533e-05,1.43650817e-05
455.0,4.43362244e-03,2.49543353e-05,1.06091778e-05
456.0,4.46439476e-03,2.72953450e-05,1.36722527e-05
457.0,4.50943474e-03,2.55387796e-05,1.09812654e-05
458.0,4.54375745e-03,2.71320380e-05,1.21570131e-05
459.0,4.58330704e-03,2.71149248e-05,1.17146570e-05
460.0,4.61403097e-03,2.43893904e-05,1.00372398e-05
461.0,4.64613562e-03,2.53361292e-05,9.55480485e-06
462.0,4.68275321e-03,2.44815751e-05,8.43826516e-06
463.0,4.72404863e-03,2.50774380e-05,1.05001466e-05
