"# every arm of the assumption sweep, ranked by chi2. nu=298, sigma = the measured per-band uncertainty in FINAL_Rrs.csv"
"# admissible = chi2_nu <= 2 x best (a STATED cut, not a confidence level -- see LOC1_GIOP_FINDINGS.md 2b/2c)"
arm,family,chi2,chi2_nu,weight_avni,admissible,M_phi,adg443,bbp443,S_dg,eta
shapes FREE (Ciotti sf=0.5),free,378341.1563,1269.6012,1,1,5.55699,0.561084,0.0625645,0.00798582,-0.0786387
shapes FREE (Bricaud),free,1847344.0562,6199.1411,5.59669e-252,0,5.34982,0.329717,0.0467812,0.00843279,-1
OC4 input 8,chl,4639565.8268,15569.0128,0,0,16.7943,0.354757,0.0929464,0.018,0.297044
Ciotti sf=0.0,sf,4706149.5406,15792.4481,0,0,53.3792,0.376643,0.0804102,0.018,0.297044
OC4 input 10.8,chl,4784524.1718,16055.4502,0,0,15.9657,0.407093,0.0946381,0.018,0.297044
OC4 input 15,chl,5307939.4468,17811.8773,0,0,14.7165,0.476097,0.0953935,0.018,0.297044
OC4 input 5,chl,5457405.2453,18313.4404,0,0,17.5618,0.292851,0.0888472,0.018,0.297044
OC4 input 20,chl,5871528.3475,19703.1153,0,0,13.3791,0.542627,0.0949351,0.018,0.297044
OC4 input 30,chl,6532963.2853,21922.6956,0,0,11.2498,0.638804,0.0926136,0.018,0.297044
OC4 input 50,chl,6881977.0616,23093.8828,0,0,8.60578,0.746773,0.0879478,0.018,0.297044
OC4 input 3,chl,8232171.1178,27624.7353,0,0,17.702,0.254825,0.0831232,0.018,0.297044
Ciotti sf=0.9,sf,11216095.7985,37637.9054,0,0,1.31791e-30,0.97977,0.050682,0.018,0.297044
Ciotti sf=1.0,sf,11216096.1010,37637.9064,0,0,3.76324e-30,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.4,sf,11216096.1160,37637.9064,0,0,8.67133e-28,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.3,sf,11216096.1356,37637.9065,0,0,1.72089e-24,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.8,sf,11216096.2055,37637.9067,0,0,1.75113e-29,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.7,sf,11216096.8255,37637.9088,0,0,1.13811e-27,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.6,sf,11216096.8333,37637.9088,0,0,6.01921e-28,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.5,sf,11216097.2567,37637.9103,0,0,3.52899e-26,0.97977,0.050682,0.018,0.297044
Ciotti sf=0.1,sf,11427021.1489,38345.7086,0,0,42.0798,0.225307,0.0697285,0.018,0.297044
OC4 input 2,chl,11934407.3058,40048.3467,0,0,17.2689,0.247975,0.0779677,0.018,0.297044
OC4 input 0.5,chl,17272403.4796,57961.0855,0,0,4.13945,0.779657,0.0542991,0.018,0.297044
OC4 input 1,chl,20384718.9633,68405.0972,0,0,14.7053,0.313143,0.0678979,0.018,0.297044
Ciotti sf=0.2,sf,22216430.2106,74551.7792,0,0,19.7979,0.463865,0.056521,0.018,0.297044

"# chi2 surface minimum over (S_dg, eta), 34x34 grid"
S_dg_best,0.01,eta_best,-1,chi2_nu_best,4611.79
# residual autocorrelation of the GIOP-default fit
lag1_rho,0.940306,n_bands,301,n_eff_AR1,9.26
