# scaled-mean R_rs; shape_cv_pct=10.064 amp_cv_pct=3.36 n=3
wavelength_nm,Rrs_mean,shape_sd,plain_sd
400.0,1.95169190e-03,2.46462070e-05,4.14451725e-05
401.0,1.97885681e-03,2.95511063e-05,3.74662429e-05
402.0,2.00516316e-03,3.28776890e-05,3.50835791e-05
403.0,2.03136033e-03,3.79596780e-05,3.09529973e-05
404.0,2.05398315e-03,4.28275019e-05,2.69868925e-05
405.0,2.07508983e-03,4.77881204e-05,2.30733489e-05
406.0,2.09597389e-03,5.31617875e-05,1.88341491e-05
407.0,2.11832252e-03,5.84410459e-05,1.49979927e-05
408.0,2.14121606e-03,6.31406775e-05,1.15832903e-05
409.0,2.16554250e-03,6.85505990e-05,8.76392227e-06
410.0,2.19008384e-03,7.31656755e-05,6.87408500e-06
411.0,2.21266811e-03,7.80132303e-05,6.54550133e-06
412.0,2.23883033e-03,8.31530893e-05,9.05781433e-06
413.0,2.26639248e-03,8.81559974e-05,1.24299652e-05
414.0,2.29508225e-03,9.34502454e-05,1.64377876e-05
415.0,2.32387767e-03,9.79456344e-05,2.03007196e-05
416.0,2.35302936e-03,1.03693973e-04,2.46395975e-05
417.0,2.38258501e-03,1.09051486e-04,2.88645166e-05
418.0,2.41175998e-03,1.13760382e-04,3.24844090e-05
419.0,2.44235564e-03,1.18519260e-04,3.60022652e-05
420.0,2.47433017e-03,1.22295739e-04,3.85610398e-05
421.0,2.50771992e-03,1.27008687e-04,4.21806627e-05
422.0,2.54335626e-03,1.33608614e-04,4.73379892e-05
423.0,2.57731565e-03,1.38901299e-04,5.14899319e-05
424.0,2.61122917e-03,1.43495723e-04,5.50215691e-05
425.0,2.64765358e-03,1.49640290e-04,5.97091588e-05
426.0,2.68520446e-03,1.54580418e-04,6.32985919e-05
427.0,2.72992268e-03,1.60499058e-04,6.75695752e-05
428.0,2.77705371e-03,1.65856709e-04,7.10818894e-05
429.0,2.80957662e-03,1.70494671e-04,7.47216737e-05
430.0,2.82209195e-03,1.77435905e-04,8.10491682e-05
431.0,2.84616231e-03,1.82423869e-04,8.52795635e-05
432.0,2.88610983e-03,1.86957967e-04,8.82661082e-05
433.0,2.92416501e-03,1.91848054e-04,9.17751539e-05
434.0,2.95465642e-03,1.97358812e-04,9.60867014e-05
435.0,2.99284810e-03,2.03152856e-04,1.00604324e-04
436.0,3.04097711e-03,2.06565604e-04,1.02403873e-04
437.0,3.08580302e-03,2.10606769e-04,1.04909608e-04
438.0,3.12384965e-03,2.15569950e-04,1.08592262e-04
439.0,3.15835992e-03,2.20610831e-04,1.12403866e-04
440.0,3.19860634e-03,2.24923463e-04,1.15399431e-04
441.0,3.24243263e-03,2.28079192e-04,1.17071521e-04
442.0,3.29378934e-03,2.31074310e-04,1.18280406e-04
443.0,3.34570003e-03,2.32988807e-04,1.18352792e-04
444.0,3.39799876e-03,2.34892272e-04,1.18584552e-04
445.0,3.44556036e-03,2.36752834e-04,1.18968271e-04
446.0,3.49322883e-03,2.37046957e-04,1.17577761e-04
447.0,3.54201631e-03,2.37154228e-04,1.16058355e-04
448.0,3.59035459e-03,2.36661085e-04,1.14007806e-04
449.0,3.64024040e-03,2.36969771e-04,1.12790492e-04
450.0,3.69423589e-03,2.37202888e-04,1.11291584e-04
451.0,3.75165944e-03,2.37930248e-04,1.10235062e-04
452.0,3.80029894e-03,2.36082567e-04,1.06740241e-04
453.0,3.83596702e-03,2.34579233e-04,1.04309425e-04
454.0,3.88157070e-03,2.37351140e-04,1.05277059e-04
455.0,3.92417591e-03,2.37426192e-04,1.03801529e-04
456.0,3.96626780e-03,2.33877233e-04,9.91946376e-05
457.0,4.01811657e-03,2.32865717e-04,9.64872415e-05
458.0,4.04745453e-03,2.31591148e-04,9.45760311e-05
459.0,4.09205661e-03,2.35567977e-04,9.68894922e-05
460.0,4.12794677e-03,2.32839725e-04,9.32404922e-05
461.0,4.17240853e-03,2.33743949e-04,9.22794207e-05
462.0,4.22115514e-03,2.30318992e-04,8.77121237e-05
463.0,4.26315335e-03,2.29863937e-04,8.62076116e-05
464.0,4.30793521e-03,2.28742520e-04,8.40889865e-05
465.0,4.34633516e-03,2.29588983e-04,8.34153289e-05
466.0,4.38828305e-03,2.27159220e-04,7.94058177e-05
467.0,4.42929860e-03,2.25308969e-04,7.65974731e-05
468.0,4.47336408e-03,2.26967957e-04,7.66304327e-05
469.0,4.51319047e-03,2.24062037e-04,7.26021616e-05
470.0,4.54835967e-03,2.23014168e-04,7.04575417e-05
471.0,4.59083278e-03,2.23371943e-04,7.00351222e-05
472.0,4.63510723e-03,2.21327208e-04,6.75342859e-05
473.0,4.67409663e-03,2.22500434e-04,6.62996134e-05
474.0,4.71770135e-03,2.20995962e-04,6.40557968e-05
475.0,4.75253950e-03,2.19340356e-04,6.17283923e-05
476.0,4.79019209e-03,2.19051713e-04,6.05052903e-05
477.0,4.83072651e-03,2.18832274e-04,5.90264367e-05
478.0,4.87484055e-03,2.19352903e-04,5.80765055e-05
479.0,4.91304207e-03,2.16082086e-04,5.52207219e-05
480.0,4.95097051e-03,2.14827420e-04,5.04972233e-05
481.0,4.99579669e-03,2.13934602e-04,5.06527401e-05
482.0,5.03801599e-03,2.13087964e-04,4.81297148e-05
483.0,5.09004790e-03,2.13253696e-04,4.69850318e-05
484.0,5.14217282e-03,2.11775333e-04,4.32025265e-05
485.0,5.17820693e-03,2.11971765e-04,4.34142108e-05
486.0,5.19857966e-03,2.09640658e-04,4.08522954e-05
487.0,5.23932693e-03,2.11126681e-04,4.20762752e-05
488.0,5.28633591e-03,2.10173151e-04,3.96035222e-05
489.0,5.33197423e-03,2.09183263e-04,3.82443390e-05
490.0,5.38889933e-03,2.07578837e-04,3.58257573e-05
491.0,5.43492470e-03,2.04746488e-04,3.27892446e-05
492.0,5.47883643e-03,2.05938807e-04,3.22844955e-05
493.0,5.52966005e-03,2.05180492e-04,3.16740017e-05
494.0,5.57791533e-03,2.02411803e-04,3.03621314e-05
495.0,5.63723008e-03,1.99732499e-04,2.76732121e-05
496.0,5.69785392e-03,1.98345261e-04,2.68613339e-05
497.0,5.75273434e-03,1.94220021e-04,2.75551703e-05
498.0,5.81505113e-03,1.93491205e-04,2.68775989e-05
499.0,5.87650361e-03,1.90014734e-04,2.86638195e-05
500.0,5.93687999e-03,1.85877794e-04,3.17152060e-05
501.0,5.99325161e-03,1.82955757e-04,3.57042797e-05
502.0,6.05212122e-03,1.81083857e-04,3.53207748e-05
503.0,6.11255362e-03,1.76584743e-04,4.11708097e-05
504.0,6.16949093e-03,1.72425466e-04,4.64204388e-05
505.0,6.24403815e-03,1.67188593e-04,5.23737482e-05
506.0,6.30734924e-03,1.63174223e-04,5.69265758e-05
507.0,6.36835553e-03,1.54949008e-04,6.54652628e-05
508.0,6.42861207e-03,1.50832029e-04,7.15887260e-05
509.0,6.49023913e-03,1.46510472e-04,7.70668786e-05
510.0,6.55707320e-03,1.41142098e-04,8.43147240e-05
511.0,6.62625083e-03,1.34790914e-04,9.26226568e-05
512.0,6.69598966e-03,1.29751295e-04,9.91833393e-05
513.0,6.75487369e-03,1.22066180e-04,1.08319053e-04
514.0,6.83406003e-03,1.16538843e-04,1.16516972e-04
515.0,6.91083314e-03,1.06353708e-04,1.28599975e-04
516.0,6.98636159e-03,1.01337712e-04,1.35814444e-04
517.0,7.03357768e-03,9.37241892e-05,1.44772736e-04
518.0,7.09459321e-03,8.81387449e-05,1.52285518e-04
519.0,7.17043012e-03,8.18646224e-05,1.60734871e-04
520.0,7.24793491e-03,7.22732744e-05,1.72588244e-04
521.0,7.32168557e-03,6.45207320e-05,1.82620806e-04
522.0,7.38833659e-03,5.70090517e-05,1.92207317e-04
523.0,7.46548924e-03,4.77942901e-05,2.03870034e-04
524.0,7.55720908e-03,4.10050168e-05,2.13791784e-04
