"# every arm of the assumption sweep, ranked by chi2. nu=298, sigma = the measured per-band uncertainty in FINAL_Rrs.csv"
"# admissible = chi2_nu <= 2 x best (a STATED cut, not a confidence level -- see LOC1_GIOP_FINDINGS.md 2b/2c)"
arm,family,chi2,chi2_nu,weight_avni,admissible,M_phi,adg443,bbp443,S_dg,eta
shapes FREE (Ciotti sf=0.5),free,4645.2003,15.5879,1,1,0.884206,1.08776,0.0745781,0.00852855,-1
shapes FREE (Bricaud),free,5792.0478,19.4364,1.05648e-16,1,1.80905,1.09971,0.0791998,0.00856472,-1
Ciotti sf=0.9,sf,165022.9503,553.7683,0,0,7.37678e-35,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.8,sf,165022.9547,553.7683,0,0,1.5835e-34,2.03767,0.0826551,0.018,0.266278
OC4 input 0.5,chl,165022.9550,553.7683,0,0,1.50243e-32,2.03767,0.0826551,0.018,0.266278
OC4 input 1,chl,165022.9590,553.7683,0,0,6.08943e-32,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.7,sf,165022.9594,553.7683,0,0,7.66943e-36,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.6,sf,165022.9649,553.7683,0,0,6.17036e-34,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.5,sf,165022.9765,553.7684,0,0,2.15064e-33,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.4,sf,165022.9835,553.7684,0,0,1.54969e-32,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.3,sf,165023.0046,553.7685,0,0,4.51292e-32,2.03767,0.0826551,0.018,0.266278
Ciotti sf=0.2,sf,165023.0445,553.7686,0,0,8.02308e-30,2.03767,0.0826551,0.018,0.266278
Ciotti sf=1.0,sf,165023.0494,553.7686,0,0,1.03135e-32,2.03767,0.0826551,0.018,0.266278
OC4 input 2,chl,249492.0843,837.2218,0,0,6.57205,1.9675,0.0999847,0.018,0.266278
Ciotti sf=0.1,sf,268474.2679,900.9204,0,0,18.2471,1.85916,0.0961211,0.018,0.266278
OC4 input 50,chl,363552.7031,1219.9755,0,0,18.777,2.2765,0.194067,0.018,0.266278
OC4 input 30,chl,408978.9619,1372.4126,0,0,23.148,2.15505,0.201648,0.018,0.266278
OC4 input 20,chl,447111.9818,1500.3758,0,0,26.579,2.0242,0.20432,0.018,0.266278
Ciotti sf=0.0,sf,469564.6772,1575.7204,0,0,99.0062,1.40414,0.157223,0.018,0.266278
OC4 input 15,chl,473659.9040,1589.4628,0,0,28.7297,1.91931,0.203674,0.018,0.266278
OC4 input 3,chl,485948.7645,1630.7006,0,0,24.1298,1.64035,0.147499,0.018,0.266278
OC4 input 8.32,chl,519941.6918,1744.7708,0,0,31.5134,1.70916,0.194525,0.018,0.266278
OC4 input 8,chl,522336.1774,1752.8060,0,0,31.5889,1.69685,0.193514,0.018,0.266278
OC4 input 5,chl,537361.4143,1803.2262,0,0,30.8882,1.59074,0.177401,0.018,0.266278

"# chi2 surface minimum over (S_dg, eta), 34x34 grid"
S_dg_best,0.00933333,eta_best,-1,chi2_nu_best,18.3606
# residual autocorrelation of the GIOP-default fit
lag1_rho,0.442906,n_bands,301,n_eff_AR1,116.2
