# scaled-mean R_rs; shape_cv_pct=7.979 amp_cv_pct=5.55 n=2
wavelength_nm,Rrs_mean,shape_sd,plain_sd
400.0,2.94279372e-03,1.58813377e-04,4.66903193e-06
401.0,2.97319457e-03,1.60680408e-04,4.49017263e-06
402.0,2.99963119e-03,1.60344069e-04,6.30061468e-06
403.0,3.02695234e-03,1.60986949e-04,7.17809376e-06
404.0,3.05110810e-03,1.60535151e-04,8.97726130e-06
405.0,3.07181714e-03,1.60092726e-04,1.05749743e-05
406.0,3.09249191e-03,1.58517622e-04,1.33069621e-05
407.0,3.11599067e-03,1.59054909e-04,1.40773747e-05
408.0,3.13854946e-03,1.60338202e-04,1.40470974e-05
409.0,3.16160445e-03,1.60655608e-04,1.50133446e-05
410.0,3.18706927e-03,1.61720506e-04,1.53640625e-05
411.0,3.21005922e-03,1.62405725e-04,1.59577352e-05
412.0,3.23661826e-03,1.61102432e-04,1.87449455e-05
413.0,3.26708265e-03,1.62027914e-04,1.95140897e-05
414.0,3.29631248e-03,1.63448091e-04,1.97182176e-05
415.0,3.32546021e-03,1.62632987e-04,2.21599719e-05
416.0,3.35605592e-03,1.63424912e-04,2.30704042e-05
417.0,3.38617790e-03,1.63647820e-04,2.45252183e-05
418.0,3.41583548e-03,1.63407319e-04,2.64189986e-05
419.0,3.44755075e-03,1.64874852e-04,2.67141146e-05
420.0,3.48098836e-03,1.67185718e-04,2.62592568e-05
421.0,3.51652429e-03,1.68988827e-04,2.64306467e-05
422.0,3.55318808e-03,1.70200711e-04,2.72579365e-05
423.0,3.58812358e-03,1.70551500e-04,2.88526859e-05
424.0,3.62237000e-03,1.70415581e-04,3.08972540e-05
425.0,3.66171483e-03,1.70742365e-04,3.27617725e-05
426.0,3.70404101e-03,1.72094983e-04,3.37634034e-05
427.0,3.75467749e-03,1.74720542e-04,3.39512087e-05
428.0,3.80362014e-03,1.76523206e-04,3.48700749e-05
429.0,3.83349377e-03,1.77232139e-04,3.58235214e-05
430.0,3.84767343e-03,1.75070794e-04,3.87816540e-05
431.0,3.87993382e-03,1.73828827e-04,4.18250306e-05
432.0,3.92948748e-03,1.74944978e-04,4.34665804e-05
433.0,3.97204817e-03,1.76031455e-04,4.47482440e-05
434.0,4.00707445e-03,1.76586561e-04,4.61431018e-05
435.0,4.04992288e-03,1.77483585e-04,4.76308367e-05
436.0,4.10372938e-03,1.79205005e-04,4.89022151e-05
437.0,4.14945845e-03,1.80807836e-04,4.98424699e-05
438.0,4.18782192e-03,1.82084835e-04,5.06991500e-05
439.0,4.22249991e-03,1.84108208e-04,5.06017904e-05
440.0,4.26267710e-03,1.84461664e-04,5.24859333e-05
441.0,4.30434639e-03,1.86141682e-04,5.31225497e-05
442.0,4.35273099e-03,1.88281437e-04,5.36721865e-05
443.0,4.39972496e-03,1.91902071e-04,5.26588742e-05
444.0,4.44527423e-03,1.95088245e-04,5.20008664e-05
445.0,4.48376905e-03,1.98803980e-04,5.04185812e-05
446.0,4.52285811e-03,2.00112302e-04,5.12842718e-05
447.0,4.56046777e-03,2.02036512e-04,5.14497361e-05
448.0,4.59861005e-03,2.04196182e-04,5.14086885e-05
449.0,4.64100791e-03,2.08086608e-04,4.98686517e-05
450.0,4.68633809e-03,2.12034371e-04,4.84344899e-05
451.0,4.72919899e-03,2.16946648e-04,4.58952397e-05
452.0,4.76344842e-03,2.19018854e-04,4.57250155e-05
453.0,4.78209464e-03,2.20319196e-04,4.54596252e-05
454.0,4.81959890e-03,2.25730302e-04,4.21215274e-05
455.0,4.84927656e-03,2.25773943e-04,4.37314063e-05
456.0,4.88455508e-03,2.31149578e-04,4.03048697e-05
457.0,4.92200551e-03,2.30572263e-04,4.29707287e-05
458.0,4.94221358e-03,2.35569077e-04,3.90844524e-05
459.0,4.97095258e-03,2.36264429e-04,3.99883002e-05
460.0,4.99616396e-03,2.38838945e-04,3.88106060e-05
461.0,5.02636958e-03,2.43402078e-04,3.59164216e-05
462.0,5.06197282e-03,2.46499982e-04,3.47927601e-05
463.0,5.09058968e-03,2.47869288e-04,3.50137614e-05
464.0,5.12410989e-03,2.52632140e-04,3.21039313e-05
465.0,5.14842498e-03,2.50714366e-04,3.53824899e-05
466.0,5.17654153e-03,2.57189704e-04,3.04537781e-05
467.0,5.20640213e-03,2.60276935e-04,2.90208397e-05
468.0,5.24025377e-03,2.63324282e-04,2.78502914e-05
469.0,5.26267058e-03,2.64264828e-04,2.81559094e-05
470.0,5.28835555e-03,2.65639605e-04,2.82080576e-05
471.0,5.31781145e-03,2.69525861e-04,2.59510703e-05
472.0,5.35022681e-03,2.71990514e-04,2.52849890e-05
473.0,5.37786130e-03,2.74290926e-04,2.45172653e-05
474.0,5.41229960e-03,2.77080790e-04,2.36376852e-05
475.0,5.43897886e-03,2.77213401e-04,2.49912464e-05
476.0,5.46638666e-03,2.77914414e-04,2.58152404e-05
477.0,5.49948601e-03,2.79872560e-04,2.56953452e-05
478.0,5.53366218e-03,2.84870148e-04,2.25866024e-05
479.0,5.56380942e-03,2.84889604e-04,2.42469060e-05
480.0,5.59709514e-03,2.90632204e-04,2.03412291e-05
481.0,5.63341059e-03,2.88694699e-04,2.43082462e-05
482.0,5.67080041e-03,2.96086588e-04,1.89768576e-05
483.0,5.71442011e-03,2.97050936e-04,2.04400374e-05
484.0,5.76410249e-03,3.02028005e-04,1.82158902e-05
485.0,5.79052284e-03,3.03508229e-04,1.82032402e-05
486.0,5.80772389e-03,3.04506357e-04,1.81604742e-05
487.0,5.84202729e-03,3.04592205e-04,1.99857634e-05
488.0,5.88361228e-03,3.06474863e-04,2.04144148e-05
489.0,5.92780663e-03,3.12090379e-04,1.72440499e-05
490.0,5.98023629e-03,3.12459808e-04,1.97948838e-05
491.0,6.01981642e-03,3.13194915e-04,2.12629276e-05
492.0,6.05360837e-03,3.15993135e-04,2.03389508e-05
493.0,6.10012345e-03,3.19770355e-04,1.91418830e-05
494.0,6.14672649e-03,3.22208517e-04,1.92929203e-05
495.0,6.19981839e-03,3.25371808e-04,1.90781466e-05
496.0,6.24998963e-03,3.28862891e-04,1.83718243e-05
497.0,6.29906068e-03,3.33455389e-04,1.64993760e-05
498.0,6.35291197e-03,3.35145809e-04,1.78043448e-05
499.0,6.40738877e-03,3.37349914e-04,1.86288924e-05
500.0,6.45450716e-03,3.42499578e-04,1.60887507e-05
501.0,6.50457880e-03,3.42649414e-04,1.87284673e-05
502.0,6.55071187e-03,3.45227181e-04,1.87132808e-05
503.0,6.60368003e-03,3.47565297e-04,1.93193405e-05
504.0,6.65091200e-03,3.49297714e-04,2.02133512e-05
505.0,6.71527230e-03,3.54858661e-04,1.82213802e-05
506.0,6.77171089e-03,3.58964103e-04,1.72480188e-05
507.0,6.82275017e-03,3.59578168e-04,1.94759874e-05
508.0,6.87667046e-03,3.64415600e-04,1.76280490e-05
509.0,6.92945387e-03,3.67935476e-04,1.70383963e-05
510.0,6.99058539e-03,3.72279304e-04,1.60874025e-05
511.0,7.04994595e-03,3.74628582e-04,1.70384543e-05
512.0,7.10800274e-03,3.77723894e-04,1.71685155e-05
513.0,7.15797286e-03,3.79077844e-04,1.85947356e-05
514.0,7.22711074e-03,3.83504647e-04,1.80066277e-05
515.0,7.29140622e-03,3.90681058e-04,1.43905815e-05
516.0,7.35125811e-03,3.94093412e-04,1.43026436e-05
517.0,7.38604991e-03,3.97054516e-04,1.32709919e-05
518.0,7.43795578e-03,3.99196486e-04,1.40146127e-05
519.0,7.50381476e-03,4.04568355e-04,1.22958130e-05
520.0,7.56910663e-03,4.08607790e-04,1.18819720e-05
521.0,7.62830184e-03,4.10348959e-04,1.34338004e-05
522.0,7.68219477e-03,4.14004805e-04,1.27695811e-05
523.0,7.75116639e-03,4.16274936e-04,1.43355569e-05
524.0,7.82710768e-03,4.23487140e-04,1.13325173e-05
525.0,7.88928055e-03,4.27069279e-04,1.12035951e-05
526.0,7.93381399e-03,4.32583583e-04,8.15364943e-06
527.0,7.98389534e-03,4.34278633e-04,9.24391111e-06
528.0,8.04901706e-03,4.39328938e-04,7.80658943e-06
529.0,8.11726581e-03,4.44292284e-04,6.63073591e-06
530.0,8.18554890e-03,4.46629739e-04,8.09081476e-06
531.0,8.25144177e-03,4.52566077e-04,5.80768775e-06
532.0,8.30319676e-03,4.55490847e-04,5.75767893e-06
533.0,8.35365463e-03,4.58841959e-04,5.20773309e-06
534.0,8.41991058e-03,4.62198378e-04,5.53274103e-06
535.0,8.48253645e-03,4.68825427e-04,2.37472452e-06
536.0,8.53655560e-03,4.72572591e-04,1.62593731e-06
537.0,8.60302287e-03,4.75300845e-04,2.59282902e-06
538.0,8.66350357e-03,4.78837859e-04,2.41488233e-06
539.0,8.71385093e-03,4.82339614e-04,1.70766948e-06
540.0,8.75820187e-03,4.86220494e-04,2.86034688e-07
541.0,8.81520798e-03,4.89099802e-04,5.74224049e-07
542.0,8.87199529e-03,4.93111473e-04,2.85645986e-07
543.0,8.92468014e-03,4.95548382e-04,2.05529262e-07
544.0,8.98231550e-03,4.99459000e-04,5.05722126e-07
545.0,9.03844410e-03,5.03706066e-04,1.63841854e-06
546.0,9.08652641e-03,5.06259484e-04,1.52056946e-06
547.0,9.13315634e-03,5.09741809e-04,2.41542936e-06
548.0,9.18543173e-03,5.11607664e-04,1.37424849e-06
549.0,9.23462176e-03,5.15089201e-04,2.12566737e-06
550.0,9.28836507e-03,5.16350543e-04,3.96309164e-07
551.0,9.33329012e-03,5.21918437e-04,3.47819039e-06
552.0,9.38502300e-03,5.25256738e-04,3.94424117e-06
553.0,9.42663596e-03,5.27349049e-04,3.72433289e-06
554.0,9.48094612e-03,5.30468485e-04,3.82723475e-06
555.0,9.52841578e-03,5.33278455e-04,4.00086855e-06
556.0,9.57430619e-03,5.35746472e-04,3.91948692e-06
