"# every arm of the assumption sweep, ranked by chi2. nu=298, sigma = the measured per-band uncertainty in FINAL_Rrs.csv"
"# admissible = chi2_nu <= 2 x best (a STATED cut, not a confidence level -- see LOC1_GIOP_FINDINGS.md 2b/2c)"
arm,family,chi2,chi2_nu,weight_avni,admissible,M_phi,adg443,bbp443,S_dg,eta
shapes FREE (Bricaud),free,514.1572,1.7254,1,1,1.31705,1.35581,0.122211,0.00565899,-1
shapes FREE (Ciotti sf=0.5),free,715.5992,2.4013,4.43887e-26,1,0.993177,1.33877,0.118516,0.00564175,-1
OC4 input 50,chl,33348.4913,111.9077,0,0,58.359,3.09481,0.476201,0.018,0.44035
Ciotti sf=0.2,sf,33603.6390,112.7639,0,0,1.33464e-33,2.28487,0.0980699,0.018,0.44035
Ciotti sf=0.3,sf,33603.6396,112.7639,0,0,1.1389e-36,2.28487,0.0980699,0.018,0.44035
OC4 input 1,chl,33603.6403,112.7639,0,0,2.57571e-34,2.28487,0.0980699,0.018,0.44035
Ciotti sf=1.0,sf,33603.6407,112.7639,0,0,3.7764e-39,2.28487,0.0980699,0.018,0.44035
Ciotti sf=0.9,sf,33603.6415,112.7639,0,0,1.41785e-38,2.28487,0.0980698,0.018,0.44035
Ciotti sf=0.8,sf,33603.6416,112.7639,0,0,3.53701e-39,2.28487,0.0980698,0.018,0.44035
OC4 input 0.5,chl,33603.6437,112.7639,0,0,1.62456e-34,2.28487,0.0980698,0.018,0.44035
Ciotti sf=0.4,sf,33603.6463,112.7639,0,0,7.36334e-36,2.28487,0.0980698,0.018,0.44035
Ciotti sf=0.5,sf,33603.6474,112.7639,0,0,2.63196e-36,2.28487,0.0980698,0.018,0.44035
Ciotti sf=0.7,sf,33603.6480,112.7639,0,0,8.80633e-37,2.28487,0.0980698,0.018,0.44035
Ciotti sf=0.6,sf,33603.6480,112.7639,0,0,2.40473e-36,2.28487,0.0980698,0.018,0.44035
Ciotti sf=0.0,sf,34245.7318,114.9186,0,0,182.165,0.958075,0.243011,0.018,0.44035
OC4 input 30,chl,35358.5885,118.6530,0,0,69.2729,2.60969,0.48456,0.018,0.44035
OC4 input 20,chl,37026.1326,124.2488,0,0,74.1957,2.14914,0.464996,0.018,0.44035
OC4 input 15,chl,38199.4397,128.1860,0,0,75.5331,1.83544,0.440713,0.018,0.44035
OC4 input 8,chl,40723.3190,136.6554,0,0,73.8925,1.29405,0.37504,0.018,0.44035
OC4 input 6.05,chl,41847.4896,140.4278,0,0,71.8484,1.13142,0.345246,0.018,0.44035
OC4 input 5,chl,42622.7170,143.0293,0,0,70.0937,1.0482,0.325357,0.018,0.44035
OC4 input 3,chl,44630.8278,149.7679,0,0,63.56,0.946507,0.273801,0.018,0.44035
Ciotti sf=0.1,sf,45456.3323,152.5380,0,0,109.086,0.769454,0.169657,0.018,0.44035
OC4 input 2,chl,45593.1615,152.9972,0,0,53.5535,1.05932,0.228865,0.018,0.44035

"# chi2 surface minimum over (S_dg, eta), 34x34 grid"
S_dg_best,0.006,eta_best,-0.454545,chi2_nu_best,1.16521
# residual autocorrelation of the GIOP-default fit
lag1_rho,0.996867,n_bands,301,n_eff_AR1,0.4723
