file,location,lat,lon,foreoptic,fov_deg,role,gps_hours,range_m,sun_elev_deg,blue_green,nir_vis
NaturaSpecPlus_SN25494G1_00000.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602870,FLENS8,8,sky,20.40611111111111,0.984,31.42,2.1122,0.1141
NaturaSpecPlus_SN25494G1_00001.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602880,FLENS8,8,water,20.42,0.984,31.47,0.5189,0.0783
NaturaSpecPlus_SN25494G1_00002.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602890,FLENS8,8,sky,20.442222222222224,0.984,31.56,2.1319,0.1093
NaturaSpecPlus_SN25494G1_00003.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602890,FLENS8,8,sky,20.4475,0.984,31.58,2.1286,0.1091
NaturaSpecPlus_SN25494G1_00004.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602880,FLENS8,8,sky,20.4525,0.984,31.6,2.1268,0.1096
NaturaSpecPlus_SN25494G1_00005.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602890,FLENS8,8,water,20.531388888888888,1.167,31.91,0.5862,0.0884
NaturaSpecPlus_SN25494G1_00006.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.53805555555556,1.167,31.93,0.5342,0.0908
NaturaSpecPlus_SN25494G1_00007.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.54527777777778,1.167,31.96,0.5322,0.0947
NaturaSpecPlus_SN25494G1_00008.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.554166666666667,1.167,31.99,0.5701,0.0850
NaturaSpecPlus_SN25494G1_00009.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,sky,20.56222222222222,1.167,32.02,2.1142,0.1134
NaturaSpecPlus_SN25494G1_00010.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,sky,20.566666666666666,1.167,32.04,2.1024,0.1157
NaturaSpecPlus_SN25494G1_00011.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.57638888888889,1.167,32.08,0.5452,0.0663
NaturaSpecPlus_SN25494G1_00012.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.590277777777775,1.167,32.13,0.5718,0.0702
NaturaSpecPlus_SN25494G1_00013.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.598888888888887,1.167,32.16,0.5298,0.0627
NaturaSpecPlus_SN25494G1_00014.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,vegetation,20.61277777777778,1.492,32.21,0.1730,2.0413
NaturaSpecPlus_SN25494G1_00015.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,vegetation,20.620833333333334,1.298,32.24,0.4236,1.2288
NaturaSpecPlus_SN25494G1_00016.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602900,FLENS8,8,water,20.631944444444446,1.229,32.29,0.5319,0.0626
NaturaSpecPlus_SN25494G1_00017.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602910,FLENS8,8,water,20.639722222222222,1.229,32.32,0.5249,0.0616
NaturaSpecPlus_SN25494G1_00018.sed,LOC1_66.89718N_162.60290W,66.897180,-162.602910,FLENS8,8,water,20.660277777777775,1.229,32.39,0.5288,0.0575
NaturaSpecPlus_SN25494G1_00019.sed,LOC1_66.89718N_162.60290W,66.897170,-162.602910,FLENS8,8,water,20.66777777777778,1.229,32.42,0.5307,0.0688
NaturaSpecPlus_SN25494G1_00020.sed,LOC1_66.89718N_162.60290W,66.897170,-162.602910,FLENS8,8,sky,20.674444444444447,1.229,32.44,2.0855,0.1202
NaturaSpecPlus_SN25494G1_00021.sed,LOC1_66.89718N_162.60290W,66.897170,-162.602900,FLENS8,8,sky,20.68277777777778,1.229,32.47,2.0774,0.1220
NaturaSpecPlus_SN25494G1_00022.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,sky,21.096666666666664,0.876,33.85,2.1514,0.1059
NaturaSpecPlus_SN25494G1_00023.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,sky,21.100833333333334,0.876,33.86,2.1507,0.1054
NaturaSpecPlus_SN25494G1_00024.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,sky,21.105555555555558,0.876,33.87,2.1534,0.1054
NaturaSpecPlus_SN25494G1_00025.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,sky,21.109722222222224,0.876,33.89,2.1551,0.1055
NaturaSpecPlus_SN25494G1_00026.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,sky,21.115000000000002,0.876,33.9,2.1542,0.1056
NaturaSpecPlus_SN25494G1_00027.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,water,21.126944444444444,0.876,33.94,0.5621,0.0818
NaturaSpecPlus_SN25494G1_00028.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,water,21.133333333333333,0.876,33.96,0.5654,0.0799
NaturaSpecPlus_SN25494G1_00029.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,water,21.141111111111112,0.876,33.98,0.5499,0.0844
NaturaSpecPlus_SN25494G1_00030.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,water,21.158055555555553,0.876,34.03,0.5061,0.0733
NaturaSpecPlus_SN25494G1_00031.sed,LOC2_66.89677N_162.57953W,66.896940,-162.579850,FLENS8,8,water,21.163888888888888,0.876,34.05,0.5113,0.0625
NaturaSpecPlus_SN25494G1_00032.sed,LOC2_66.89677N_162.57953W,66.896860,-162.579700,FLENS8,8,water,21.177222222222223,0.876,34.09,0.4840,0.0693
NaturaSpecPlus_SN25494G1_00033.sed,LOC2_66.89677N_162.57953W,66.896860,-162.579710,FLENS8,8,water,21.184722222222224,0.876,34.11,0.4923,0.0771
NaturaSpecPlus_SN25494G1_00034.sed,LOC2_66.89677N_162.57953W,66.896810,-162.579610,FLENS8,8,water,21.198611111111113,0.876,34.15,0.4990,0.0644
NaturaSpecPlus_SN25494G1_00035.sed,LOC2_66.89677N_162.57953W,66.896720,-162.579440,FLENS8,8,water,21.211944444444445,0.876,34.19,0.4897,0.0997
NaturaSpecPlus_SN25494G1_00036.sed,LOC2_66.89677N_162.57953W,66.896570,-162.579160,FLENS8,8,water,21.226666666666667,0.972,34.23,0.5112,0.0705
NaturaSpecPlus_SN25494G1_00037.sed,LOC2_66.89677N_162.57953W,66.896570,-162.579170,FLENS8,8,water,21.233055555555556,0.972,34.25,0.5008,0.0633
NaturaSpecPlus_SN25494G1_00038.sed,LOC2_66.89677N_162.57953W,66.896570,-162.579160,FLENS8,8,water,21.243055555555557,0.972,34.27,0.4767,0.0620
NaturaSpecPlus_SN25494G1_00039.sed,LOC2_66.89677N_162.57953W,66.896570,-162.579160,FLENS8,8,sky,21.248611111111114,0.972,34.29,2.1343,0.1086
NaturaSpecPlus_SN25494G1_00040.sed,LOC2_66.89677N_162.57953W,66.896560,-162.579150,FLENS8,8,sky,21.2525,0.972,34.3,2.1396,0.1063
NaturaSpecPlus_SN25494G1_00041.sed,LOC2_66.89677N_162.57953W,66.896560,-162.579150,FLENS8,8,sky,21.259722222222223,0.972,34.32,2.1374,0.1063
NaturaSpecPlus_SN25494G1_00042.sed,LOC2_66.89677N_162.57953W,66.896560,-162.579140,FLENS8,8,sky,21.26527777777778,1.041,34.34,2.1351,0.1096
NaturaSpecPlus_SN25494G1_00043.sed,LOC2_66.89677N_162.57953W,66.896570,-162.579110,FLENS8,8,vegetation,21.280277777777776,0.896,34.38,0.5111,0.9239
NaturaSpecPlus_SN25494G1_00044.sed,LOC2_66.89677N_162.57953W,66.896570,-162.579090,FLENS8,8,vegetation,21.305555555555557,1.326,34.45,0.4457,1.3682
NaturaSpecPlus_SN25494G1_00052.sed,LOC3_66.89235N_162.59149W,66.892340,-162.591510,FIBR15,15,sky,22.116666666666667,0.877,36.09,2.0656,0.1181
NaturaSpecPlus_SN25494G1_00053.sed,LOC3_66.89235N_162.59149W,66.892340,-162.591510,FIBR15,15,sky,22.122777777777777,0.877,36.1,2.0694,0.1172
NaturaSpecPlus_SN25494G1_00054.sed,LOC3_66.89235N_162.59149W,66.892340,-162.591500,FIBR15,15,sky,22.128611111111113,0.877,36.11,2.0575,0.1208
NaturaSpecPlus_SN25494G1_00055.sed,LOC3_66.89235N_162.59149W,66.892340,-162.591490,FIBR15,15,water,22.136944444444445,0.877,36.12,0.5288,0.0693
NaturaSpecPlus_SN25494G1_00056.sed,LOC3_66.89235N_162.59149W,66.892340,-162.591490,FIBR15,15,water,22.14361111111111,0.877,36.12,0.5427,0.0706
NaturaSpecPlus_SN25494G1_00057.sed,LOC3_66.89235N_162.59149W,66.892330,-162.591500,FIBR15,15,water,22.160277777777775,0.877,36.15,0.5987,0.1298
NaturaSpecPlus_SN25494G1_00058.sed,LOC3_66.89235N_162.59149W,66.892330,-162.591500,FIBR15,15,water,22.172777777777778,0.877,36.16,0.6426,0.3536
NaturaSpecPlus_SN25494G1_00059.sed,LOC3_66.89235N_162.59149W,66.892330,-162.591500,FIBR15,15,water,22.179166666666667,,36.17,0.6396,0.2178
NaturaSpecPlus_SN25494G1_00045.sed,LOC3_66.89235N_162.59149W,66.892360,-162.591520,FLENS8,8,water,21.74888888888889,1.085,35.49,0.5280,0.1152
NaturaSpecPlus_SN25494G1_00046.sed,LOC3_66.89235N_162.59149W,66.892360,-162.591520,FLENS8,8,water,21.75777777777778,1.085,35.51,0.5264,0.1102
NaturaSpecPlus_SN25494G1_00047.sed,LOC3_66.89235N_162.59149W,66.892360,-162.591500,FLENS8,8,water,21.76722222222222,1.085,35.53,0.4900,0.1572
NaturaSpecPlus_SN25494G1_00048.sed,LOC3_66.89235N_162.59149W,66.892360,-162.591470,FLENS8,8,water,21.783611111111114,1.085,35.56,0.4842,0.1321
